Cluster ID,Authors
Cluster 1,"Ali, Alshawabkeh, Amat Plata, Angel, Antonio, Arturo Román, Bevrani, Emilio, Federico, Fuentes, Georgios, Golpîra, Gomez-Lazaro, H, Hashemi, Hassan, Hatziargyriou, Hêmin, Ise, Juan Alvaro, Kerci, M, Mahbub, Martin-Martinez, Messina, Milano, Molina-Garcia, Nikos, Panigrahi, Roustaei, S M, Sergio, Seyedi, Shree Prasad, Taulant, Toshifumi, Trilochan, Tzounas, Vigueras-Rodriguez"
Cluster 2,"A. P. Sakis, Abdul Saleem, Abhinav Kumar, Abur, Akhlaghi, Alireza, Bi, Bikash, Gomez-Exposito, Huang, Innocent, Junbo, Kamwa, Lamine, Marcos, Meliopoulos, Mili, Mir, Netto, Nilanjan, Pal, Rouhani, Samson Shenglong, Senroy, Shahrokh, Shaobu, Singh, Terzija, Tianshu, Vladimir, Yu, Zhao, Zhenyu"
Cluster 3,"Coln, De Padua, Diego, Enzner, Fernando, G., Gerald, H., Iravani, Karimi, Karimi-Ghartemani, M., M.R., Marcelo S., Martin, P., Parthasarathy, Pawula, Peter, R., Rainer, Rawat, Sigmar, Tarun Kumar, Vary"
Cluster 4,"Anvari, Benjamin, Dirk, G. Cigdem, Gorjao, Gorjão, Hagenmeyer, Heiko, Johannes, Jumar, Kruse, Leonardo Rydin, Maaß, Mehrnaz, Richard, Schafer, Schäfer, Veit, Wen, Witthaut, Xinyi, Yalcin"
Cluster 5,"Ahmed, Aziz, Benbouzid, Biricik, Choqueuse, Christina, Denis, Efimov, Elbouchikhi, Elhoussin, Girgis, Hafiz, Hany, Mohamed, Nayel, Rosane, Samet, Ushirobira, Vincent"
Cluster 6,"Bo, Bogang, Derui, Ding, Dong, Edwin, Ge, Han, Hongli, Qing-Long, Qu, Shen, Wang, Xiaohua, Xin, Yaz, Zidong"
Cluster 7,"A., A.K., Basak, Cruz Serra, K.P., Pedro M., Pradhan, Radil, Ramos, Rao, Routray, Tomas"
Cluster 8,"Dahir H., Danilo P., Dini, Hui, Kanna, Mandic, Ron, Sayed Pouria, Sithan, Talebi, Xia, Yili"
Cluster 9,"Adesso, Agnieszka, Correa, Felix A., Gerardo, Górecka, Kavan, Liuzzo-Scorpo, Luis A., Modi, Pietro, Pollock"
Cluster 10,"Behzad, Enrique, Kazemtabrizi, Lobato, Lukas, Matthias C. M., Mohammad, Rajabdorri, Sigrist, Troffaes"
Cluster 11,"Carlos D., Dhivya Sampath, Dipti, Gandhi, Kumar, Oktoviano, Rodríguez-Gallegos, Srinivasan"
Cluster 12,"Arablouei, Dogancay, Kutluyil, Reza, Stefan, Werner"
Cluster 13,"Amangaldi, Hadieh Sadat, Hosseini, Koochaki, Masoud, Radmehr"
Cluster 14,"Cheng, Jinfeng, Kezunovic, Mladen, Qian, Ren"
Cluster 15,"H.M., Jones, K., Korzeniowski, M.A., Magdy"
Cluster 16,"Gilchrist, J., Rebizant, Szafran, W."
Cluster 17,"Aamir Hussain, Awan, Chughtai, Muhammad Saqib"
Cluster 18,"El-Shafey, M.H., M.M., Mansour"
Cluster 19,"Jeremy, Soh, Wu, Xiaofeng"
Cluster 20,"Jinlei, Longhua, Mu, Xing"
Cluster 21,"Goldschmidt, Horst, Nico, Schulte"
Cluster 22,"Josiah W., Murat, Smith, Torlak"
Cluster 23,"Jacek, Lobos, Rezmer, Tadeusz"
Cluster 24,"B, Bhatia, Eng, Zorawar"
Cluster 25,"Hong-Bin, Li, Peng, Zhang"
Cluster 26,"Xu, Yan, Ziming"
Cluster 27,"Gençol, Kenan"
Cluster 28,"E.S., Karapidakis"
Cluster 29,"Denenberg, J N"
