Author,First Publication,Last Publication,Active Span (Years)
Kezunovic,2012,2019,8
Mladen,2012,2019,8
M.,2004,2009,6
A.,2005,2009,5
Wang,2021,2023,3
Milano,2020,2021,2
Federico,2020,2021,2
Ahmed,2021,2022,2
Hafiz,2021,2022,2
Ushirobira,2021,2022,2
